Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVAC,RUUseType,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4350,2,Townhouse,1/03/2021,1/03/2021,1/03/2021,0,0,0,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba South
4301,2,Apartment,1/10/2020,1/10/2020,1/10/2020,0,1,1,Public Housing,IPSWICH ,Ipswich,Bundamba
4650,2,Apartment,1/12/2020,1/12/2020,1/12/2020,0,1,1,Public Housing,MARYBOROUGH ,Fraser Coast,Maryborough
4510,3,Duplex,1/05/2021,1/05/2021,1/05/2021,0,1,1,Public Housing,MORETON BAY ,Moreton Bay,Morayfield
4305,4,Detached House,1/02/2021,1/02/2021,1/02/2021,0,2,2,Public Housing,IPSWICH ,Ipswich,Ipswich West
4655,3,Detached House,1/11/2020,1/11/2020,1/11/2020,0,3,3,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4510,4,Detached House,1/12/2020,1/12/2020,1/12/2020,0,3,3,Public Housing,MORETON BAY ,Moreton Bay,Pumicestone
4305,4,Detached House,1/06/2021,1/06/2021,1/06/2021,0,7,7,Public Housing,IPSWICH ,Ipswich,Ipswich
4655,4,Detached House,1/05/2021,1/05/2021,1/05/2021,1,0,1,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4305,2,Detached House,1/07/2020,1/07/2020,1/07/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Ipswich West
4301,2,Detached House,1/09/2020,1/09/2020,1/09/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
4305,1,Apartment,1/09/2020,1/09/2020,1/09/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Ipswich
4304,2,Apartment,1/11/2020,1/11/2020,1/11/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
4305,3,Duplex,1/12/2020,1/12/2020,1/12/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Ipswich West
4350,4,Detached House,1/12/2020,1/12/2020,1/12/2020,1,0,1,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba North
4305,3,Detached House,1/01/2021,1/01/2021,1/01/2021,1,0,1,Public Housing,IPSWICH ,Ipswich,Ipswich West
4815,4,Detached House,1/01/2021,1/01/2021,1/01/2021,1,0,1,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4301,4,Detached House,1/02/2021,1/02/2021,1/02/2021,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
4551,3,Duplex,1/02/2021,1/02/2021,1/02/2021,1,0,1,Public Housing,MAROOCHYDORE ,Sunshine Coast,Caloundra
0,3,Duplex,1/03/2021,1/03/2021,1/03/2021,1,0,1,Public Housing,LOGAN ,Logan,Woodridge
4650,4,Detached House,1/04/2021,1/04/2021,1/04/2021,1,0,1,Public Housing,MARYBOROUGH ,Fraser Coast,Maryborough
4132,3,Townhouse,1/05/2021,1/05/2021,1/05/2021,1,0,1,Public Housing,LOGAN ,Logan,Woodridge
4670,4,Detached House,1/05/2021,1/05/2021,1/05/2021,1,0,1,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
4114,6,Detached House,1/05/2021,1/05/2021,1/05/2021,1,0,1,Public Housing,LOGAN ,Logan,Woodridge
4132,3,Townhouse,1/06/2021,1/06/2021,1/06/2021,1,0,1,Public Housing,LOGAN ,Logan,Woodridge
4670,4,Detached House,1/12/2020,1/12/2020,1/12/2020,1,1,2,Public Housing,BUNDABERG ,Bundaberg,Burnett
4506,4,Duplex,1/04/2021,1/04/2021,1/04/2021,1,1,2,Public Housing,MORETON BAY ,Moreton Bay,Morayfield
4305,3,Detached House,1/09/2020,1/09/2020,1/09/2020,1,3,4,Public Housing,IPSWICH ,Ipswich,Ipswich West
4815,3,Detached House,1/10/2020,1/10/2020,1/10/2020,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4304,3,Detached House,1/03/2021,1/03/2021,1/03/2021,1,4,5,Public Housing,IPSWICH ,Ipswich,Bundamba
4655,3,Detached House,1/03/2021,1/03/2021,1/03/2021,1,0,1,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4301,2,Apartment,1/08/2020,1/08/2020,1/08/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
4670,4,Detached House,1/10/2020,1/10/2020,1/10/2020,1,0,1,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
