Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVAC,RUUseType,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4883,2,Cluster House,2/03/2022,14/03/2022,13/04/2022,12,30,42,Public Housing,CAIRNS HSC,Tablelands,Hill
4883,2,Cluster House,18/05/2022,7/06/2022,15/06/2022,20,8,28,Public Housing,CAIRNS HSC,Tablelands,Hill
4883,2,Cluster House,4/04/2022,14/04/2022,5/05/2022,10,21,31,Public Housing,CAIRNS HSC,Tablelands,Hill
4883,1,Apartment,24/03/2022,7/04/2022,12/05/2022,14,35,49,Public Housing,CAIRNS HSC,Tablelands,Hill
4883,3,Detached House,21/04/2022,11/05/2022,27/06/2022,20,47,67,Aboriginal and Torres Strait Islander Housing,CAIRNS HSC,Tablelands,Hill
4883,2,Apartment,19/07/2021,12/08/2021,13/09/2021,24,32,56,Public Housing,CAIRNS HSC,Tablelands,Hill
4807,3,Detached House,9/03/2022,30/03/2022,1/04/2022,21,2,23,Public Housing,TOWNSVILLE HSC,Burdekin,Burdekin
4807,3,Detached House,22/02/2022,10/03/2022,18/03/2022,16,8,24,Public Housing,TOWNSVILLE HSC,Burdekin,Burdekin
4807,1,Apartment,20/01/2022,3/02/2022,18/02/2022,14,15,29,Public Housing,TOWNSVILLE HSC,Burdekin,Burdekin
4807,2,Townhouse,24/03/2022,22/04/2022,4/05/2022,29,12,41,Public Housing,TOWNSVILLE HSC,Burdekin,Burdekin
4807,2,Townhouse,7/10/2021,2/11/2021,12/11/2021,26,10,36,Public Housing,TOWNSVILLE HSC,Burdekin,Burdekin
4807,5,Detached House,27/05/2022,16/06/2022,24/06/2022,20,8,28,Public Housing,TOWNSVILLE HSC,Burdekin,Burdekin
4807,2,Duplex,15/07/2021,4/08/2021,12/08/2021,20,8,28,Public Housing,TOWNSVILLE HSC,Burdekin,Burdekin
4807,2,Duplex,28/01/2022,10/02/2022,17/02/2022,13,7,20,Public Housing,TOWNSVILLE HSC,Burdekin,Burdekin
4053,1,Apartment,12/08/2021,25/08/2021,2/09/2021,13,8,21,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4051,1,Apartment,12/10/2021,3/11/2021,22/11/2021,22,19,41,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Everton
4032,3,Detached House,7/02/2022,3/03/2022,4/03/2022,24,1,25,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4012,2,Detached House,15/06/2021,1/07/2021,30/07/2021,16,29,45,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4075,3,Detached House,4/03/2022,30/03/2022,31/03/2022,26,1,27,Public Housing,INALA HSC,Brisbane,Miller
4053,3,Detached House,8/10/2021,5/11/2021,10/11/2021,28,5,33,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,3,Detached House,18/01/2022,18/02/2022,21/02/2022,31,3,34,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Detached House,17/08/2021,8/09/2021,15/09/2021,22,7,29,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4032,3,Detached House,27/08/2021,23/09/2021,6/10/2021,27,13,40,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
0,2,Apartment,25/08/2021,13/10/2021,26/10/2021,49,13,62,Public Housing,BURANDA HSC,Brisbane,Greenslopes
4152,2,Apartment,31/01/2022,14/02/2022,11/03/2022,14,25,39,Public Housing,BURANDA HSC,Brisbane,Chatsworth
4152,3,Detached House,22/10/2021,17/11/2021,18/11/2021,26,1,27,Public Housing,BURANDA HSC,Brisbane,Chatsworth
4053,3,Detached House,18/09/2021,14/01/2022,15/02/2022,118,32,150,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Detached House,15/12/2021,21/01/2022,25/02/2022,37,35,72,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Duplex,22/02/2022,28/04/2022,13/06/2022,65,46,111,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Detached House,6/10/2021,25/10/2021,4/11/2021,19,10,29,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Apartment,9/03/2022,23/03/2022,29/03/2022,14,6,20,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Detached House,28/01/2022,11/02/2022,14/03/2022,14,31,45,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Dual Occupancy,20/09/2021,8/10/2021,11/10/2021,18,3,21,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Apartment,10/05/2022,13/05/2022,13/05/2022,3,0,3,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4032,2,Duplex,5/07/2021,19/07/2021,30/07/2021,14,11,25,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4032,3,Detached House,18/08/2021,10/09/2021,1/10/2021,23,21,44,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4178,2,Apartment,13/04/2022,25/05/2022,6/06/2022,42,12,54,Public Housing,BAYSIDE HSC,Brisbane,Lytton
4054,3,Detached House,5/11/2021,6/12/2021,8/12/2021,31,2,33,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4054,3,Detached House,26/08/2021,27/08/2021,16/09/2021,1,20,21,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4054,3,Detached House,14/01/2022,9/02/2022,16/02/2022,26,7,33,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4054,3,Detached House,31/01/2022,8/04/2022,8/04/2022,67,0,67,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4121,3,Detached House,15/11/2021,26/11/2021,15/12/2021,11,19,30,Public Housing,BURANDA HSC,Brisbane,Greenslopes
4053,2,Duplex,5/07/2021,20/07/2021,3/08/2021,15,14,29,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,3,Detached House,1/12/2021,16/12/2021,16/12/2021,15,0,15,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,3,Detached House,13/08/2021,26/08/2021,27/08/2021,13,1,14,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Detached House,8/10/2021,28/10/2021,1/12/2021,20,34,54,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Apartment,20/10/2021,3/11/2021,20/12/2021,14,47,61,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,3,Detached House,9/03/2022,4/04/2022,7/04/2022,26,3,29,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Detached House,5/08/2021,20/08/2021,7/09/2021,15,18,33,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Apartment,6/12/2021,17/12/2021,21/01/2022,11,35,46,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,3,Detached House,17/11/2021,9/12/2021,14/12/2021,22,5,27,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4152,3,Detached House,22/12/2021,22/12/2021,22/12/2021,0,0,0,Public Housing,BURANDA HSC,Brisbane,Chatsworth
4034,3,Detached House,23/07/2021,13/08/2021,13/08/2021,21,0,21,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4034,2,Apartment,24/09/2021,12/10/2021,25/11/2021,18,44,62,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4034,2,Apartment,25/06/2021,9/07/2021,3/08/2021,14,25,39,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4034,4,Detached House,16/03/2022,7/04/2022,7/04/2022,22,0,22,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4034,3,Detached House,17/12/2021,22/02/2022,25/02/2022,67,3,70,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4034,3,Detached House,30/08/2021,21/09/2021,1/10/2021,22,10,32,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4034,2,Detached House,20/09/2021,14/10/2021,23/11/2021,24,40,64,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4034,3,Detached House,14/01/2022,4/02/2022,4/02/2022,21,0,21,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4034,3,Detached House,14/09/2021,28/09/2021,8/10/2021,14,10,24,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4034,3,Detached House,20/08/2021,10/09/2021,21/09/2021,21,11,32,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4121,3,Detached House,11/08/2021,31/08/2021,6/09/2021,20,6,26,Public Housing,BURANDA HSC,Brisbane,Greenslopes
4077,2,Detached House,6/12/2021,22/12/2021,22/12/2021,16,0,16,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Duplex,14/09/2021,9/11/2021,12/11/2021,56,3,59,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Detached House,14/03/2022,31/03/2022,7/04/2022,17,7,24,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,19/07/2021,12/08/2021,26/08/2021,24,14,38,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Detached House,2/11/2021,15/11/2021,29/11/2021,13,14,27,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Detached House,24/03/2022,5/04/2022,11/04/2022,12,6,18,Public Housing,INALA HSC,Brisbane,Inala
4077,4,Detached House,30/11/2021,23/12/2021,7/02/2022,23,46,69,Public Housing,INALA HSC,Brisbane,Inala
4121,3,Detached House,29/03/2022,20/04/2022,4/05/2022,22,14,36,Public Housing,BURANDA HSC,Brisbane,Greenslopes
4054,3,Detached House,26/10/2021,4/11/2021,9/11/2021,9,5,14,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4108,2,Apartment,15/12/2021,15/12/2021,16/12/2021,0,1,1,Public Housing,BURANDA HSC,Brisbane,Toohey
4108,2,Apartment,9/05/2022,31/05/2022,16/06/2022,22,16,38,Public Housing,BURANDA HSC,Brisbane,Toohey
4032,2,Detached House,12/05/2022,14/06/2022,23/06/2022,33,9,42,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4109,1,Apartment,13/07/2021,13/07/2021,13/07/2021,0,0,0,Public Housing,BURANDA HSC,Brisbane,Toohey
4109,3,Detached House,17/11/2021,8/12/2021,19/01/2022,21,42,63,Public Housing,BURANDA HSC,Brisbane,Toohey
0,3,Detached House,25/03/2022,17/06/2022,22/06/2022,84,5,89,Public Housing,BAYSIDE HSC,Brisbane,Lytton
4152,3,Detached House,3/08/2021,18/08/2021,30/08/2021,15,12,27,Public Housing,BURANDA HSC,Brisbane,Chatsworth
4034,3,Detached House,11/03/2022,25/03/2022,30/03/2022,14,5,19,Public Housing,CHERMSIDE HSC,Brisbane,Aspley
4122,3,Detached House,13/05/2022,13/05/2022,13/05/2022,0,0,0,Public Housing,BURANDA HSC,Brisbane,Mansfield
4122,3,Detached House,4/03/2022,11/04/2022,21/04/2022,38,10,48,Public Housing,BURANDA HSC,Brisbane,Mansfield
4122,3,Detached House,31/08/2021,31/08/2021,31/08/2021,0,0,0,Public Housing,BURANDA HSC,Brisbane,Mansfield
4122,2,Detached House,30/07/2021,30/07/2021,30/07/2021,0,0,0,Public Housing,BURANDA HSC,Brisbane,Mansfield
4122,2,Apartment,30/07/2021,30/07/2021,30/07/2021,0,0,0,Public Housing,BURANDA HSC,Brisbane,Mansfield
4077,2,Apartment,23/12/2021,24/01/2022,7/02/2022,32,14,46,Public Housing,INALA HSC,Brisbane,Inala
4077,5,Detached House,1/07/2021,30/07/2021,2/08/2021,29,3,32,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Duplex,30/09/2021,14/10/2021,28/10/2021,14,14,28,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Detached House,27/04/2022,19/05/2022,26/05/2022,22,7,29,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Detached House,27/05/2022,7/06/2022,24/06/2022,11,17,28,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Detached House,6/12/2021,4/01/2022,5/01/2022,29,1,30,Public Housing,INALA HSC,Brisbane,Inala
0,1,Apartment,23/12/2021,17/01/2022,17/01/2022,25,0,25,Public Housing,INALA HSC,Brisbane,Algester
4110,3,Detached House,26/11/2021,9/12/2021,13/12/2021,13,4,17,Public Housing,INALA HSC,Brisbane,Algester
4077,2,Detached House,19/04/2022,11/05/2022,12/05/2022,22,1,23,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,11/07/2021,19/07/2021,21/07/2021,8,2,10,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,22/09/2021,26/10/2021,27/10/2021,34,1,35,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Detached House,28/10/2021,19/11/2021,6/12/2021,22,17,39,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,2/03/2022,22/03/2022,29/03/2022,20,7,27,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,4/04/2022,22/04/2022,4/05/2022,18,12,30,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,6/08/2021,26/08/2021,27/08/2021,20,1,21,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,13/10/2021,4/11/2021,4/11/2021,22,0,22,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Duplex,24/08/2021,3/09/2021,15/09/2021,10,12,22,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Townhouse,5/08/2021,27/08/2021,1/09/2021,22,5,27,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Townhouse,14/09/2021,30/09/2021,5/10/2021,16,5,21,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Duplex,23/09/2021,7/10/2021,7/10/2021,14,0,14,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Duplex,22/11/2021,6/12/2021,15/12/2021,14,9,23,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Apartment,1/07/2021,9/07/2021,9/07/2021,8,0,8,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,3/08/2021,24/08/2021,2/09/2021,21,9,30,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,16/05/2022,25/05/2022,26/05/2022,9,1,10,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,20/12/2021,27/01/2022,27/01/2022,38,0,38,Public Housing,INALA HSC,Brisbane,Inala
4054,3,Detached House,11/04/2022,13/05/2022,18/05/2022,32,5,37,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4053,2,Apartment,28/09/2021,12/10/2021,22/10/2021,14,10,24,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Apartment,12/04/2022,29/04/2022,5/05/2022,17,6,23,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,2,Apartment,2/11/2021,18/11/2021,7/02/2022,16,81,97,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4077,3,Detached House,16/02/2022,16/03/2022,21/03/2022,28,5,33,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,30/07/2021,7/09/2021,14/09/2021,39,7,46,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,22/11/2021,4/01/2022,5/01/2022,43,1,44,Public Housing,INALA HSC,Brisbane,Inala
4077,2,Detached House,3/09/2021,21/09/2021,23/09/2021,18,2,20,Public Housing,INALA HSC,Brisbane,Inala
4053,3,Detached House,10/08/2021,30/08/2021,3/09/2021,20,4,24,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4053,4,Detached House,17/02/2022,18/03/2022,23/03/2022,29,5,34,Public Housing,CHERMSIDE HSC,Brisbane,Stafford
4110,4,Detached House,5/07/2021,22/07/2021,3/08/2021,17,12,29,Public Housing,INALA HSC,Brisbane,Algester
4077,3,Detached House,16/12/2021,7/01/2022,7/01/2022,22,0,22,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,10/11/2021,23/11/2021,23/11/2021,13,0,13,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,2/02/2022,17/02/2022,24/02/2022,15,7,22,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,10/03/2022,29/03/2022,1/04/2022,19,3,22,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,2/12/2021,23/12/2021,4/01/2022,21,12,33,Public Housing,INALA HSC,Brisbane,Inala
4077,4,Detached House,9/02/2022,25/02/2022,25/02/2022,16,0,16,Public Housing,INALA HSC,Brisbane,Inala
4077,4,Detached House,10/03/2022,1/04/2022,1/04/2022,22,0,22,Public Housing,INALA HSC,Brisbane,Inala
4077,1,Apartment,18/11/2021,6/12/2021,15/12/2021,18,9,27,Public Housing,INALA HSC,Brisbane,Inala
4077,1,Apartment,31/01/2022,16/02/2022,23/02/2022,16,7,23,Public Housing,INALA HSC,Brisbane,Inala
4077,1,Apartment,2/11/2021,15/11/2021,12/01/2022,13,58,71,Public Housing,INALA HSC,Brisbane,Inala
4054,3,Detached House,2/06/2021,20/07/2021,27/07/2021,48,7,55,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4077,3,Detached House,18/05/2022,1/06/2022,2/06/2022,14,1,15,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,10/01/2022,31/01/2022,9/02/2022,21,9,30,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,31/08/2021,16/09/2021,16/09/2021,16,0,16,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,21/02/2022,9/03/2022,22/03/2022,16,13,29,Public Housing,INALA HSC,Brisbane,Inala
0,3,Detached House,16/07/2021,6/08/2021,10/08/2021,21,4,25,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,3/02/2022,21/02/2022,23/02/2022,18,2,20,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,8/02/2022,24/02/2022,9/03/2022,16,13,29,Public Housing,INALA HSC,Brisbane,Inala
4076,3,Detached House,12/07/2021,4/08/2021,10/08/2021,23,6,29,Public Housing,INALA HSC,Brisbane,Inala
4054,3,Detached House,17/06/2021,19/07/2021,21/07/2021,32,2,34,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4076,3,Detached House,2/02/2022,23/02/2022,21/03/2022,21,26,47,Public Housing,INALA HSC,Brisbane,Inala
4017,3,Detached House,24/03/2022,21/04/2022,22/04/2022,28,1,29,Public Housing,CHERMSIDE HSC,Brisbane,Sandgate
4017,3,Detached House,3/09/2021,23/09/2021,5/10/2021,20,12,32,Public Housing,CHERMSIDE HSC,Brisbane,Sandgate
4121,1,Apartment,27/08/2021,13/09/2021,28/10/2021,17,45,62,Public Housing,BURANDA HSC,Brisbane,Greenslopes
4034,1,Apartment,19/01/2022,7/02/2022,11/03/2022,19,32,51,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4034,1,Apartment,21/07/2021,4/08/2021,2/09/2021,14,29,43,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4171,1,Apartment,14/05/2021,25/05/2021,2/07/2021,11,38,49,Public Housing,BURANDA HSC,Brisbane,Bulimba
4152,3,Detached House,17/08/2021,13/09/2021,9/11/2021,27,57,84,Public Housing,BURANDA HSC,Brisbane,Chatsworth
4017,1,Apartment,25/02/2022,15/03/2022,30/03/2022,18,15,33,Public Housing,CHERMSIDE HSC,Brisbane,Sandgate
4171,1,Apartment,28/05/2021,15/06/2021,8/07/2021,18,23,41,Public Housing,BURANDA HSC,Brisbane,Bulimba
4120,1,Apartment,2/11/2021,11/11/2021,7/12/2021,9,26,35,Public Housing,BURANDA HSC,Brisbane,Greenslopes
4120,1,Apartment,17/02/2022,8/03/2022,17/03/2022,19,9,28,Public Housing,BURANDA HSC,Brisbane,Greenslopes
0,1,Apartment,27/08/2021,13/09/2021,20/10/2021,17,37,54,Public Housing,BURANDA HSC,Brisbane,Greenslopes
4120,1,Apartment,28/07/2021,20/09/2021,20/10/2021,54,30,84,Public Housing,BURANDA HSC,Brisbane,Greenslopes
4120,1,Apartment,8/09/2021,21/09/2021,11/11/2021,13,51,64,Public Housing,BURANDA HSC,Brisbane,Greenslopes
4104,1,Apartment,27/09/2021,26/10/2021,1/12/2021,29,36,65,Public Housing,BURANDA HSC,Brisbane,Miller
4104,1,Apartment,9/12/2021,5/01/2022,12/01/2022,27,7,34,Public Housing,BURANDA HSC,Brisbane,Miller
4104,1,Apartment,5/10/2021,26/10/2021,29/11/2021,21,34,55,Public Housing,BURANDA HSC,Brisbane,Miller
4104,1,Apartment,27/10/2021,1/12/2021,10/01/2022,35,40,75,Public Housing,BURANDA HSC,Brisbane,Miller
4104,1,Apartment,9/03/2022,30/03/2022,6/04/2022,21,7,28,Public Housing,BURANDA HSC,Brisbane,Miller
4104,1,Apartment,16/02/2022,8/03/2022,9/03/2022,20,1,21,Public Housing,BURANDA HSC,Brisbane,Miller
4104,1,Apartment,16/06/2021,28/06/2021,26/07/2021,12,28,40,Public Housing,BURANDA HSC,Brisbane,Miller
4051,1,Apartment,25/06/2021,9/07/2021,12/07/2021,14,3,17,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4051,1,Apartment,22/09/2021,22/10/2021,3/11/2021,30,12,42,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4051,1,Apartment,20/08/2021,2/09/2021,17/09/2021,13,15,28,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4051,1,Apartment,3/12/2021,22/12/2021,13/01/2022,19,22,41,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4051,1,Apartment,11/02/2022,1/03/2022,11/04/2022,18,41,59,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4051,1,Apartment,6/12/2021,17/12/2021,24/02/2022,11,69,80,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4051,1,Apartment,1/12/2021,24/12/2021,24/12/2021,23,0,23,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4012,1,Apartment,24/12/2021,14/01/2022,22/02/2022,21,39,60,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4012,1,Apartment,30/09/2021,13/10/2021,9/11/2021,13,27,40,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4012,1,Apartment,2/03/2022,15/03/2022,24/03/2022,13,9,22,Public Housing,CHERMSIDE HSC,Brisbane,Nudgee
4170,1,Apartment,17/12/2021,10/01/2022,7/02/2022,24,28,52,Public Housing,BURANDA HSC,Brisbane,Bulimba
4005,1,Apartment,18/05/2021,7/06/2021,19/07/2021,20,42,62,Public Housing,FORTITUDE VALLEY HSC,Brisbane,McConnel
4005,1,Apartment,15/10/2021,28/10/2021,3/11/2021,13,6,19,Public Housing,FORTITUDE VALLEY HSC,Brisbane,McConnel
4005,1,Apartment,9/07/2021,23/07/2021,28/07/2021,14,5,19,Public Housing,FORTITUDE VALLEY HSC,Brisbane,McConnel
4051,3,Apartment,3/11/2021,18/11/2021,28/01/2022,15,71,86,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Stafford
4051,2,Apartment,12/01/2022,27/01/2022,2/02/2022,15,6,21,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Stafford
4101,1,Apartment,27/08/2021,15/09/2021,20/09/2021,19,5,24,Public Housing,FORTITUDE VALLEY HSC,Brisbane,South Brisbane
4101,1,Apartment,11/11/2021,3/12/2021,10/12/2021,22,7,29,Public Housing,FORTITUDE VALLEY HSC,Brisbane,South Brisbane
4064,1,Apartment,26/05/2021,9/06/2021,7/07/2021,14,28,42,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Cooper
0,3,Detached House,10/01/2022,3/02/2022,8/02/2022,24,5,29,Public Housing,BAYSIDE HSC,Brisbane,Lytton
4055,3,Detached House,16/07/2021,5/08/2021,19/08/2021,20,14,34,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4055,4,Detached House,1/10/2021,19/10/2021,26/10/2021,18,7,25,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4077,3,Detached House,6/09/2021,21/09/2021,22/09/2021,15,1,16,Public Housing,INALA HSC,Brisbane,Inala
4077,3,Detached House,12/10/2021,20/10/2021,2/11/2021,8,13,21,Public Housing,INALA HSC,Brisbane,Inala
4179,1,Apartment,16/12/2021,18/01/2022,21/02/2022,33,34,67,Public Housing,BAYSIDE HSC,Brisbane,Lytton
4061,3,Detached House,20/08/2021,3/09/2021,6/09/2021,14,3,17,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Cooper
4122,4,Detached House,23/09/2021,10/12/2021,24/12/2021,78,14,92,Public Housing,BURANDA HSC,Brisbane,Mansfield
4017,1,Apartment,4/05/2022,19/05/2022,1/06/2022,15,13,28,Public Housing,CHERMSIDE HSC,Brisbane,Sandgate
4053,1,Apartment,22/09/2021,13/10/2021,28/10/2021,21,15,36,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
4053,1,Apartment,11/06/2021,28/06/2021,10/08/2021,17,43,60,Public Housing,FORTITUDE VALLEY HSC,Brisbane,Ferny Grove
