Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVAC,RUUseType,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4362,3,Detached House,2/08/2021,9/08/2021,22/09/2021,7,44,51,Public Housing,TOOWOOMBA AND SOUTH WEST HSC,Southern Downs,Southern Downs
4161,3,Detached House,2/08/2021,9/09/2021,16/09/2021,38,7,45,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,15/02/2022,22/04/2022,6/05/2022,66,14,80,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,11/06/2021,9/07/2021,13/07/2021,28,4,32,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,8/11/2021,22/11/2021,14/12/2021,14,22,36,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,14/09/2021,30/09/2021,6/10/2021,16,6,22,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,16/07/2021,6/08/2021,19/08/2021,21,13,34,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,11/10/2021,18/10/2021,29/10/2021,7,11,18,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,16/09/2021,27/09/2021,25/10/2021,11,28,39,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,20/04/2022,14/06/2022,16/06/2022,55,2,57,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,16/08/2021,30/08/2021,20/09/2021,14,21,35,Public Housing,BAYSIDE HSC,Redland,Capalaba
4214,2,Duplex,31/08/2021,10/09/2021,11/10/2021,10,31,41,Public Housing,GOLD COAST HSC,Gold Coast,Bonney
4883,3,Detached House,28/09/2021,8/11/2021,8/11/2021,41,0,41,Public Housing,CAIRNS HSC,Tablelands,Hill
4883,2,Duplex,12/07/2021,27/07/2021,28/07/2021,15,1,16,Public Housing,CAIRNS HSC,Tablelands,Hill
4883,2,Duplex,21/07/2021,10/08/2021,14/09/2021,20,35,55,Public Housing,CAIRNS HSC,Tablelands,Hill
4883,3,Detached House,8/03/2022,23/03/2022,28/03/2022,15,5,20,Public Housing,CAIRNS HSC,Tablelands,Hill
4883,1,Apartment,18/01/2022,15/02/2022,28/02/2022,28,13,41,Public Housing,CAIRNS HSC,Tablelands,Hill
4883,1,Apartment,8/11/2021,30/11/2021,3/02/2022,22,65,87,Public Housing,CAIRNS HSC,Tablelands,Hill
4883,1,Apartment,10/05/2021,19/05/2021,2/09/2021,9,106,115,Public Housing,CAIRNS HSC,Tablelands,Hill
4883,2,Townhouse,22/12/2021,25/01/2022,8/02/2022,34,14,48,Public Housing,CAIRNS HSC,Tablelands,Hill
